date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:51	6685/6685	---M--	200	added ('OK')	text/html	etag:%225cbec63f-1a1d%22	http://ninja.allexample.com/SchedulerSupport-1.html	D:/webdownload/ninja/ninja.allexample.com/SchedulerSupport-1.html	(from http://ninja.allexample.com/SchedulerSupport.html)
23:17:51	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-scheduler-SchedulerSupport.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-scheduler-SchedulerSupport.html	(from http://ninja.allexample.com/SchedulerSupport.html)
23:17:51	6580/6580	---M--	200	added ('OK')	text/html	etag:%225cbec63f-19b4%22	http://ninja.allexample.com/SecretGenerator-1.html	D:/webdownload/ninja/ninja.allexample.com/SecretGenerator-1.html	(from http://ninja.allexample.com/SecretGenerator.html)
23:17:52	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec656-cb3%22	http://ninja.allexample.com/index.html-ninja-utils-SecretGenerator.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-utils-SecretGenerator.html	(from http://ninja.allexample.com/SecretGenerator.html)
23:17:52	6391/6391	---M--	200	added ('OK')	text/html	etag:%225cbec63e-18f7%22	http://ninja.allexample.com/SecureFilter-1.html	D:/webdownload/ninja/ninja.allexample.com/SecureFilter-1.html	(from http://ninja.allexample.com/SecureFilter.html)
23:17:52	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-SecureFilter.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-SecureFilter.html	(from http://ninja.allexample.com/SecureFilter.html)
23:17:53	21099/21099	---M--	200	added ('OK')	text/html	etag:%225cbec63e-526b%22	http://ninja.allexample.com/Session-1.html	D:/webdownload/ninja/ninja.allexample.com/Session-1.html	(from http://ninja.allexample.com/Session.html)
23:17:53	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec659-cb3%22	http://ninja.allexample.com/index.html-ninja-session-Session.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-session-Session.html	(from http://ninja.allexample.com/Session.html)
23:17:53	6548/6548	---M--	200	added ('OK')	text/html	etag:%225cbec63e-1994%22	http://ninja.allexample.com/SessionImpl-1.html	D:/webdownload/ninja/ninja.allexample.com/SessionImpl-1.html	(from http://ninja.allexample.com/SessionImpl.html)
23:17:54	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec659-cb3%22	http://ninja.allexample.com/index.html-ninja-session-SessionImpl.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-session-SessionImpl.html	(from http://ninja.allexample.com/SessionImpl.html)
